patient_id,address,allergies,blood_type,closest_hospital,community,country,date_of_birth,disabilities,first_name,gender,has_children,has_dependent,height_cm,language,marital_status,medical_problems,national_id_number,num_of_children,num_of_dependents,post_code,preferred_language,purpose_of_visit,state,sur_name,title,user_id,weight,hospital_id
222,1677 Enim Rd.,flowers,A+,Ikorodu General Hospital,urban,nigeria,10/8/1984,cyclothimic disorder,ANOWAR,Female,No,Yes,250,english,Single,overwight,7498209197,1,1,11613,english,medical examination,Lagos,HERMAN,Ms.,222,88,1
223,"P.O. Box 935, 7661 Morbi Street",dust,AB+,Isalu Hospitals,rural,nigeria,10/11/1994,NA,GEANINE,Female,No,No,181,english,Single,drug addiction,3747204730,0,1,11384,english,medical examination,Lagos,SHAUNDRA,Ms.,223,78,1
224,569-7960 Integer Ave,dust,B-,St. Nicholas Hospital,suburban,nigeria,2/15/1993,scoliosis,AGATHA,Male,No,No,168,english,Divorced,underweight,6646498417,3,2,18590,english,reserved consultation,Lagos,NEMA,Mr.,224,76,1
225,615-5113 Cum St.,flowers,O-,First Consultant Hospital,urban,nigeria,8/12/2011,none,ANSAR,Male,No,No,162,english,Married,drug addiction,4242103188,1,1,17452,english,medical examination,Lagos,HERMES,Mr.,225,96,1
226,618-3434 Sagittis Av.,flowers,B-,Badagry General Hospital,rural,nigeria,7/23/2007,atherosclerosis,GEDDES,Male,Yes,Yes,209,english,Married,NA,5521083345,2,4,7493,english,medical examination,Lagos,SHAUNELL,Mr.,226,74,1
227,405-9892 Ultrices Rd.,NA,A+,Creek Hospital,urban,nigeria,1/3/1988,NA,AGGREY,Female,Yes,No,205,english,Married,NA,3360003786,4,2,45965,english,medical examination,Lagos,NENA,Mrs.,227,81,1
228,Ap #561-9293 Sociis St.,flowers,B+,Isolo General Hospital,rural,nigeria,6/3/2007,fibromas,ANSELM,Female,Yes,Yes,134,english,Married,underweight,6023164075,3,3,34326,english,consultation,Lagos,HERMINIO,Mrs.,228,61,1
229,"Ap #381-3175 Sed, Street",pollen,B+,Duchess International Hospital,rural,nigeria,5/11/1990,arthritis,GEENA,Male,Yes,Yes,159,english,Married,drug addiction,6757491984,2,4,56086,english,consultation,Lagos,SHAUNETTE,Mr.,229,89,1
230,"Ap #230-5566 Amet, St.",NA,AB+,Blue Cross Hospital,suburban,nigeria,10/15/1987,alzheimer's,AGNE,Male,No,Yes,219,english,Divorced,drug addiction,4905698782,1,2,22604,english,consultation,Lagos,NENETTE,Mr.,230,98,1
231,"P.O. Box 967, 4885 Nunc Avenue",flowers,A-,First Consultant Hospital,suburban,nigeria,6/4/1994,fibromas,ANSHU,Male,Yes,Yes,133,english,Single,not immunized,7600188680,0,0,29141,english,reserved consultation,Lagos,HERNANDEZ,Mr.,231,90,1
232,Ap #266-429 Velit St.,NA,AB-,National Orthopaedic Hospital,rural,nigeria,2/21/1988,arthritis,ADONAI,Female,No,Yes,187,english,Divorced,NA,4426759961,4,1,35020,english,consultation,Lagos,SHAUNTA,Ms.,232,97,1
233,315-4283 Nam Street,NA,AB+,Mercy Stripes Specialist Hospital,rural,nigeria,7/12/2008,NA,ANKUR,Female,Yes,Yes,213,english,Single,none,7242992294,0,1,41492,english,consultation,Lagos,NEO,Ms.,233,101,1
234,921-1491 Nonummy Ave,nuts,AB-,First Consultant Hospital,urban,nigeria,12/5/2005,none,GARDENIA,Male,Yes,Yes,231,english,Divorced,none,5438821723,2,3,38042,english,medical examination,Lagos,HERO,Mr.,234,65,1
235,Ap #299-4324 Mauris Avenue,NA,O-,Badagry General Hospital,rural,nigeria,10/14/1996,cyclothimic disorder,ADONIJAH,Female,No,Yes,147,english,Single,underweight,3376536722,0,0,37197,english,medical examination,Lagos,SHAUNTE,Ms.,235,94,1
236,"P.O. Box 913, 6976 Magnis Rd.",pollen,O+,Ave Maria Hospital,suburban,nigeria,4/7/2009,NA,ANN,Female,Yes,No,257,english,Divorced,physical injury,5182989958,3,3,5814,english,consultation,Lagos,NEPHI,Ms.,236,69,1
237,6676 Tristique Street,flowers,B+,Duchess International Hospital,rural,nigeria,5/19/1984,scoliosis,GARDY,Male,No,No,241,english,Married,drug addiction,4975222389,3,1,36460,english,consultation,Lagos,HERRY,Mr.,237,82,1
238,896-4316 Tempus Rd.,flowers,AB+,Mercy Stripes Specialist Hospital,rural,nigeria,5/27/2008,none,ADORA,Male,Yes,No,225,english,Divorced,physical injury,5891512815,1,2,28532,english,reserved consultation,Lagos,SHAUNTELL,Mr.,238,89,1
239,967-2326 Orci Rd.,nuts,A-,Isalu Hospitals,suburban,nigeria,10/13/1984,arthritis,ANNABELLA,Male,Yes,No,140,english,Married,not immunized,7814319322,1,1,9702,english,consultation,Lagos,NEREYDA,Mr.,239,63,1
240,351-6015 Metus Rd.,flowers,A-,Ikorodu General Hospital,urban,nigeria,2/7/2008,alzheimer's,GARETH,Female,Yes,Yes,247,english,Divorced,overwight,4237888042,1,2,5511,english,medical examination,Lagos,HERSHEL,Ms.,240,74,1
241,"Ap #635-6634 Pede, Av.",dust,AB-,Badagry General Hospital,suburban,nigeria,4/18/2012,atherosclerosis,ADREAN,Male,No,No,147,english,Single,NA,7476006006,1,1,26021,english,consultation,Lagos,SHAVA,Mr.,241,100,1
242,1677 Enim Rd.,NA,A+,Maryiam Ville Medical Center,rural,nigeria,9/3/2001,fibromas,ANNA-KAY,Male,No,No,159,english,Single,NA,4665337146,1,0,9662,english,consultation,Lagos,NERISSA,Mr.,242,80,1
243,"P.O. Box 935, 7661 Morbi Street",nuts,AB+,Lagoon Hospitals,rural,nigeria,8/1/2006,NA,GARGI,Male,Yes,Yes,181,english,Divorced,physical injury,3936071044,2,1,42284,english,reserved consultation,Lagos,HERSON,Mr.,243,63,1
244,569-7960 Integer Ave,NA,B+,Adefemi Hospital,urban,nigeria,8/15/2002,arthritis,ADRI,Male,No,Yes,138,english,Divorced,not immunized,4737522540,2,4,19627,english,reserved consultation,Lagos,SHAVAUGHN,Mr.,244,82,1
245,615-5113 Cum St.,pollen,A+,Isalu Hospitals,rural,nigeria,2/26/2001,delirium,ANNA-LENA,Male,Yes,No,235,english,Single,overwight,3404462615,0,1,22112,english,reserved consultation,Lagos,NERO,Mr.,245,96,1
246,618-3434 Sagittis Av.,dust,AB-,Blue Cross Hospital,urban,nigeria,9/10/1990,NA,GARNER,Male,Yes,Yes,131,english,Single,overwight,4096313491,1,0,43345,english,consultation,Lagos,HERU,Mr.,246,82,1
247,405-9892 Ultrices Rd.,dust,AB+,Ave Maria Hospital,rural,nigeria,10/5/2011,NA,ADONAI,Female,No,Yes,163,english,Married,none,3796725654,2,1,14664,english,medical examination,Lagos,SHAVON,Mrs.,247,92,1
248,Ap #561-9293 Sociis St.,dust,AB+,Ave Maria Hospital,rural,nigeria,5/21/1995,cyclothimic disorder,ANKUR,Female,No,No,141,english,Divorced,drug addiction,5452953729,4,3,16180,english,consultation,Lagos,NERY,Ms.,248,100,1
249,"Ap #381-3175 Sed, Street",flowers,A-,First Consultant Hospital,suburban,nigeria,11/20/1997,atherosclerosis,GARDENIA,Female,Yes,Yes,174,english,Married,mental issue,6032209818,3,4,23475,english,consultation,Lagos,HERY,Mrs.,249,60,1
250,"Ap #230-5566 Amet, St.",dust,O-,Duchess International Hospital,urban,nigeria,2/17/2009,delirium,ADONIJAH,Male,Yes,Yes,223,english,Single,physical injury,6619490508,1,0,17870,english,consultation,Lagos,SHAVONNE,Mr.,250,82,1
